----------------------------------------
Begin Torque Prologue (Mon May  4 13:07:20 2020)
Job ID:           10847702.cc-mgmt1.campuscluster.illinois.edu
Username:         stv3
Group:            sp20-cs543r-eng
Job Name:         vanilla_script
Limits:           walltime=04:00:00,nodes=1:ppn=16:P100,neednodes=1:ppn=16:P100
Job Queue:        eng-instruction
Account:          eng-instruction
Nodes:            ccc0058
End Torque Prologue
----------------------------------------
/home/stv3/.conda/envs/cv/lib/python3.7/site-packages/torch/nn/functional.py:52: UserWarning: size_average and reduce args will be deprecated, please use reduction='elementwise_mean' instead.
  warnings.warn(warning.format(ret))
2020-05-04 13:09:37,340 : Train time 00h 02m 10s Batch 149 CEloss 1.2156833410263062
2020-05-04 13:09:38,251 : Train time 00h 02m 11s Batch 150 CEloss 1.2556891441345215
2020-05-04 13:09:39,107 : Train time 00h 02m 12s Batch 151 CEloss 1.0992366075515747
2020-05-04 13:09:39,902 : Train time 00h 02m 12s Batch 152 CEloss 0.976305365562439
2020-05-04 13:09:40,791 : Train time 00h 02m 13s Batch 153 CEloss 1.0837711095809937
2020-05-04 13:09:41,591 : Train time 00h 02m 14s Batch 154 CEloss 0.9987668991088867
2020-05-04 13:09:42,471 : Train time 00h 02m 15s Batch 155 CEloss 1.0290226936340332
2020-05-04 13:09:43,355 : Train time 00h 02m 16s Batch 156 CEloss 0.9851418137550354
2020-05-04 13:09:44,212 : Train time 00h 02m 17s Batch 157 CEloss 1.3175140619277954
2020-05-04 13:09:45,131 : Train time 00h 02m 18s Batch 158 CEloss 1.4113366603851318
2020-05-04 13:09:46,060 : Train time 00h 02m 19s Batch 159 CEloss 1.1919193267822266
2020-05-04 13:09:46,963 : Train time 00h 02m 19s Batch 160 CEloss 1.0838664770126343
2020-05-04 13:09:47,806 : Train time 00h 02m 20s Batch 161 CEloss 0.9900873303413391
2020-05-04 13:09:48,803 : Train time 00h 02m 21s Batch 162 CEloss 1.0994820594787598
2020-05-04 13:09:49,649 : Train time 00h 02m 22s Batch 163 CEloss 1.0688247680664062
2020-05-04 13:09:50,772 : Train time 00h 02m 23s Batch 164 CEloss 0.9262301921844482
2020-05-04 13:09:51,677 : Train time 00h 02m 24s Batch 165 CEloss 1.2163426876068115
2020-05-04 13:09:52,539 : Train time 00h 02m 25s Batch 166 CEloss 1.2066106796264648
2020-05-04 13:09:53,377 : Train time 00h 02m 26s Batch 167 CEloss 1.136228322982788
2020-05-04 13:09:54,235 : Train time 00h 02m 27s Batch 168 CEloss 0.9872520565986633
2020-05-04 13:09:55,214 : Train time 00h 02m 28s Batch 169 CEloss 0.9422951936721802
2020-05-04 13:09:56,091 : Train time 00h 02m 29s Batch 170 CEloss 1.359636902809143
2020-05-04 13:09:56,910 : Train time 00h 02m 29s Batch 171 CEloss 0.9150199294090271
2020-05-04 13:09:58,053 : Train time 00h 02m 31s Batch 172 CEloss 1.0453389883041382
2020-05-04 13:09:58,935 : Train time 00h 02m 31s Batch 173 CEloss 1.1277084350585938
2020-05-04 13:09:59,782 : Train time 00h 02m 32s Batch 174 CEloss 1.2402658462524414
2020-05-04 13:10:00,622 : Train time 00h 02m 33s Batch 175 CEloss 1.0133984088897705
2020-05-04 13:10:01,518 : Train time 00h 02m 34s Batch 176 CEloss 1.0055830478668213
2020-05-04 13:10:02,379 : Train time 00h 02m 35s Batch 177 CEloss 0.9919307231903076
2020-05-04 13:10:03,220 : Train time 00h 02m 36s Batch 178 CEloss 1.214843511581421
2020-05-04 13:10:04,100 : Train time 00h 02m 37s Batch 179 CEloss 0.9651036858558655
2020-05-04 13:10:04,918 : Train time 00h 02m 37s Batch 180 CEloss 1.0275592803955078
2020-05-04 13:10:05,819 : Train time 00h 02m 38s Batch 181 CEloss 1.2499077320098877
2020-05-04 13:10:06,704 : Train time 00h 02m 39s Batch 182 CEloss 1.2049671411514282
2020-05-04 13:10:07,533 : Train time 00h 02m 40s Batch 183 CEloss 1.4983000755310059
2020-05-04 13:10:08,431 : Train time 00h 02m 41s Batch 184 CEloss 1.3415160179138184
2020-05-04 13:10:09,314 : Train time 00h 02m 42s Batch 185 CEloss 1.3573988676071167
2020-05-04 13:10:10,217 : Train time 00h 02m 43s Batch 186 CEloss 1.3810619115829468
2020-05-04 13:10:11,112 : Train time 00h 02m 44s Batch 187 CEloss 0.9381940364837646
2020-05-04 13:10:12,012 : Train time 00h 02m 44s Batch 188 CEloss 1.4117037057876587
2020-05-04 13:10:12,894 : Train time 00h 02m 45s Batch 189 CEloss 1.2830820083618164
2020-05-04 13:10:13,751 : Train time 00h 02m 46s Batch 190 CEloss 0.8967950940132141
2020-05-04 13:10:14,605 : Train time 00h 02m 47s Batch 191 CEloss 1.0498734712600708
2020-05-04 13:10:15,453 : Train time 00h 02m 48s Batch 192 CEloss 1.3286956548690796
2020-05-04 13:10:16,292 : Train time 00h 02m 49s Batch 193 CEloss 0.9699046611785889
2020-05-04 13:10:17,121 : Train time 00h 02m 50s Batch 194 CEloss 0.870780885219574
2020-05-04 13:10:17,997 : Train time 00h 02m 50s Batch 195 CEloss 1.0275373458862305
2020-05-04 13:10:18,922 : Train time 00h 02m 51s Batch 196 CEloss 0.9865161180496216
2020-05-04 13:10:19,832 : Train time 00h 02m 52s Batch 197 CEloss 1.1236672401428223
2020-05-04 13:10:20,744 : Train time 00h 02m 53s Batch 198 CEloss 1.4555941820144653
2020-05-04 13:10:21,604 : Train time 00h 02m 54s Batch 199 CEloss 1.075039267539978
2020-05-04 13:10:22,430 : Train time 00h 02m 55s Batch 200 CEloss 1.1192309856414795
2020-05-04 13:10:23,269 : Train time 00h 02m 56s Batch 201 CEloss 0.9696223139762878
2020-05-04 13:10:24,134 : Train time 00h 02m 57s Batch 202 CEloss 1.2779940366744995
2020-05-04 13:10:24,975 : Train time 00h 02m 57s Batch 203 CEloss 1.0645900964736938
2020-05-04 13:10:25,948 : Train time 00h 02m 58s Batch 204 CEloss 1.4886685609817505
2020-05-04 13:10:26,749 : Train time 00h 02m 59s Batch 205 CEloss 0.9001783132553101
2020-05-04 13:10:27,550 : Train time 00h 03m 00s Batch 206 CEloss 1.053504467010498
2020-05-04 13:10:28,431 : Train time 00h 03m 01s Batch 207 CEloss 1.2065988779067993
